,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,Ranged w/o image on 8.12,exclude?,Rank
21637,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,5023360011,73% LEAN GRND BEEF 27% FAT CHUB,"GROUND BEEF, RAW",Yes,No,240
21912,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,21854000000,JENNIE O TURKEY BREAST OVEN ROASTED,DELI MEAT,Yes,No,247
23381,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,22908400000,MUFFINS ASTD 4 CT,ISB BREAKFAST BAKED GOODS,Yes,No,263
24785,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,20067100000,RBF CHICKEN GRND,"CHICKEN, REFRIGERATED",Yes,No,273
25948,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,24282200000,VEGETABLE TRAY WITH DIP GRAB N GO,CONVENIENCE VEGETABLES,Yes,No,284
26245,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,23027400000,SCALLOPS SEA COLOSSAL U-15 CT PREV FZ,SERVICE SEAFOOD,Yes,No,289
28266,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,28056500000,SF CHICKEN WING JUMBO,"CHICKEN, REFRIGERATED",Yes,No,308
29317,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,20904000000,JLPNO PPR STFD WCRM CHSE BCN WRPD,SELF SERVICE VALUE ADDED MEATS,Yes,No,323
29854,SAFEWAY                  ,1201,4005 EAST CHANDLER BLVD.                ,PHOENIX             ,AZ,85048,21592400000,ECK HAM LOW SODIUM,DELI MEAT,Yes,No,327
4087,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,8463244196,ISERNIOS CHICKEN GRND T/P,"CHICKEN, REFRIGERATED",Yes,No,46
9712,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,23040000000,SHRIMPMEAT NORTHERN CKD PREV FZ,SERVICE SEAFOOD,Yes,No,99
10591,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,22673500000,ROLLS CINN W/CRMCHSE ICING 8CT,ISB BREAKFAST BAKED GOODS,Yes,No,106
12863,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,2183459407,HEMPLERS PORK GROUND,BREAKFAST SAUSAGE,Yes,No,132
13620,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,2183459409,HEMPLERS SAUSAGE ITALIAN MILD GROUND,DINNER SAUSAGE,Yes,No,140
15322,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,27050600000,RNGR AIR CHL CHICKEN BREAST BNLS SKLS,"CHICKEN, REFRIGERATED",Yes,No,147
15750,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,23034300000,SHRIMP COOKED 91-110 CT T-OFF PREV FZ,SERVICE SEAFOOD,Yes,No,155
19654,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,2183459339,HEMPLERS BACON COTTAGE,BACON,Yes,No,204
21407,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,22832500000,COOKIE CHOCOLATE CHIP 40 CT,ISB SNACKS,Yes,No,235
22537,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,27050900000,RNGR AIR CHL CKN BREAST TENDER BNLS SKLS,"CHICKEN, REFRIGERATED",Yes,No,252
22727,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,20822000000,CHICKEN BRST CORDON BLEU PREV FZ,SERVICE MEAT,Yes,No,253
23809,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,2183459406,HEMPLERS SAUSAGE BRKFST GROUND,BREAKFAST SAUSAGE,Yes,No,267
24446,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,22482700000,COOKIES PINK FROSTED 10 CT,ISB SNACKS,Yes,No,272
24987,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,2183459410,HEMPLERS SAUSAGE ITALIAN HOT GROUND,DINNER SAUSAGE,Yes,No,275
26529,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,27050700000,RNGR AIR CHL CKN BRST THN SLCD BNLS SKLS,"CHICKEN, REFRIGERATED",Yes,No,290
27011,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,22904900000,18 CT CHOC CHIP COOKIE W M&M,ISB SNACKS,Yes,No,298
27226,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,23588000000,POKE AHI SHOYU - CO,SERVICE SEAFOOD,Yes,No,300
27926,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,23004800000,CATFISH FILLET PREV FROZEN,SERVICE SEAFOOD,Yes,No,306
28453,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,21371100000,D&W CORNED BEEF,DELI MEAT,Yes,No,314
31557,SAFEWAY                  ,368,2100 QUEEN ANNE AVENUE_N                ,SEATTLE             ,WA,98109,20347800000,PORK NECKBONES,VARIETY MEATS,Yes,No,340
753,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,20059200000,CHICKEN BREAST BNLS SKLS VPC,"CHICKEN, REFRIGERATED",Yes,No,5
5295,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,26583100000,FF SMPLY RSD CHICKEN BREAST THN SLCD ABF,"CHICKEN, REFRIGERATED",Yes,No,50
7099,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,48402048101,APPLES PAZAZZ,APPLES,Yes,No,77
8553,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,20433000000,HMPLR STICK PEPPERONI,SMOKED BEEF AND PORK,Yes,No,87
10095,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,4130378067,CSM BK SHOPPE BROWNIE BITES,ISB DESSERTS,Yes,No,102
10209,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,26586500000,FF SMPLY RSD CHICKEN THIGH BNLS SKLS ABF,"CHICKEN, REFRIGERATED",Yes,No,104
10927,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,20059300000,CHICKEN THIGH BNLS SKLS VPC,"CHICKEN, REFRIGERATED",Yes,No,107
12724,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,22889500000,COOKIE CHOCOLATE CHIP 36CT,ISB SNACKS,Yes,No,130
14771,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,26580800000,FF SMPLY RSD CHICKEN DRUMSTICK ABF,"CHICKEN, REFRIGERATED",Yes,No,144
17330,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,22714000000,ROLLS CINNAMON 8 CT,ISB BREAKFAST BAKED GOODS,Yes,No,166
25446,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,24050900000,LAURAS 92% LEAN GRND BEEF 8% FAT,"GROUND BEEF, RAW",Yes,No,281
26725,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,24203600000,FRESH FRUIT YOGURT PARFAIT,FRESH FRUIT CONVENIENCE,Yes,No,297
27686,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,22184300000,MUFFINS ASTD BLUBRY ALMD POPPY & CHOC CH,ISB BREAKFAST BAKED GOODS,Yes,No,303
29491,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,20435200000,HMPLR STICK PEPPERONI JLPNO/CHSE,SMOKED BEEF AND PORK,Yes,No,325
30403,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,22709300000,COOKIE PLATTER 36 CT,ISB SNACKS,Yes,No,331
30766,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,7580588889,STELLA PARMESAN CHEESE WEDGE,DELI CHEESE,Yes,No,338
31181,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,7864210265,WILD MIKES ULTIMATE SUPER SIZE PZA COMBO,PIZZA FROZEN PREPARED FOODS,Yes,No,339
32050,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,24222400000,CAULIFLOWER,CONVENIENCE VEGETABLES,Yes,No,346
32877,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,6456322673,YUMMY ALL NTRL CKN NUGGET DINO F.C. NAE,FROZEN MEAT,Yes,No,355
33697,SAFEWAY                  ,382,3527 SE 122ND AVENUE                    ,PORTLAND            ,OR,97236,21357600000,DELI SNACK TURKEY & CHEESE COMBO,DELI CATERING/PLATTERS,Yes,No,364
6920,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,20344000000,PORK LOIN SIRLOIN CHOP BI VPC,"PORK, NATURAL",Yes,No,66
13977,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,21240200000,PRIMO TAGLIO CHICKEN BREAST BUFFALO STYL,DELI MEAT,Yes,No,141
19419,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,20970400000,CHICKEN LEG QUARTER SSND,SERVICE MEAT,Yes,No,202
23117,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,20594200000,BEEF CARNE ASADA MRNTD 5%,SERVICE MEAT,Yes,No,254
32570,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,20334500000,PORK LOIN SIRLOIN CHOP BI VPC,"PORK, NATURAL",Yes,No,350
34259,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,22770600000,MUFFINS PISTACHIO 4CT,ISB BREAKFAST BAKED GOODS,Yes,No,371
